"burchtID";"Jaar";"status";"bewoning";"Gebied"
54;2018;"Bijburcht";"Bewoond";"Haspengouw"
54;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
55;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
55;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
55;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
56;2018;"Verdwenen";"Ongekend";"Haspengouw"
57;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
58;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
58;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
58;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
59;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
59;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
60;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
60;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
61;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
62;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
62;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
63;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
63;2016;"Ongekend";"Bewoond";"Haspengouw"
64;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
64;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
65;2016;"Ongekend";"Bewoond";"Haspengouw"
66;2018;"Bijburcht";"Bewoond";"Haspengouw"
67;2016;"Bijburcht";"Bewoond";"Haspengouw"
67;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
68;2016;"Ongekend";"Bewoond";"Haspengouw"
69;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
69;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
70;2018;"Bijburcht";"Bewoond";"Haspengouw"
71;2018;"Bijburcht";"Bewoond";"Haspengouw"
72;2018;"Bijburcht";"Bewoond";"Haspengouw"
73;2018;"Bijburcht";"Bewoond";"Haspengouw"
74;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
77;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
78;2018;"Bijburcht";"Bewoond";"Haspengouw"
79;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
80;2018;"Verdwenen";"Ongekend";"Haspengouw"
81;2018;"Verdwenen";"Ongekend";"Haspengouw"
82;2018;"Bijburcht";"Bewoond";"Haspengouw"
83;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
83;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
84;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
84;2016;"Hoofdburcht";"Ongekend";"Haspengouw"
85;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
85;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
86;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
86;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
87;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
87;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
88;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
88;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
89;2016;"Bijburcht";"Ongekend";"Haspengouw"
89;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
90;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
91;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
91;2017;"Verdwenen";"Niet_bewoond";"Haspengouw"
92;2017;"Bijburcht";"Bewoond";"Haspengouw"
93;2018;"Bijburcht";"Bewoond";"Haspengouw"
94;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
95;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
95;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
95;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
96;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
96;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
96;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
97;2018;"Ongekend";"Niet_bewoond";"Haspengouw"
98;2018;"Ongekend";"Ongekend";"Haspengouw"
99;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
99;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
